Date,Asset_1,Asset_2,Asset_3,Asset_4,Asset_5,Asset_6,Asset_7,Asset_8,Asset_9,Asset_10,Asset_11,Asset_12,Asset_13,Asset_14,Asset_15,Asset_16,Asset_17,Asset_18,Asset_19,Asset_20,Asset_21,Asset_22,Asset_23,Asset_24,Asset_25,Asset_26,Asset_27,Asset_28,Asset_29,Asset_30
1991-12-31,1329.875851,2816.695786,2989.78938,197.4033135,318.2542065,349.7033226,341.3971623,2204.367592,1037.334371,484.6220412,289.2719886,148.3577799,405.4244111,800.4956743,812.712266,413.4839941,276.9348822,104.3910831,827.4393062,297.7544867,529.0504566,915.8373248,1174.222292,1300.776845,153.0414913,55.97992378,867.0763409,585.0627304,446.6198237,198.4587095
1992-01-31,1258.461518,2730.504894,2842.990721,220.4205398,326.3378634,376.3507157,352.9705261,2082.025191,1048.122648,533.5204052,302.6074273,153.1349004,424.9253252,793.7715107,899.2661223,430.1473991,302.9390677,94.6096386,793.2660629,284.1173312,515.1893346,949.5401383,1258.648875,1317.166633,151.1896893,55.02826507,864.6485271,646.6113296,450.3714302,203.757557
1992-02-29,1249.023057,2771.462468,2852.941189,243.38836,344.7433189,370.8559953,360.4887983,2028.100739,1077.470083,577.9626549,305.9663697,163.8696569,444.4718902,819.172199,1028.041031,416.4256971,304.2417056,100.9011796,788.8237729,280.622688,508.9555436,977.0768023,1314.40702,1349.700649,158.8701255,56.76715825,889.8097993,644.9948013,463.7474617,204.5522115
1992-03-31,1212.176876,2808.877211,2728.267659,239.9079065,341.2958857,363.1421906,344.7354378,1917.366438,1085.982096,600.3876059,294.8903871,161.6901905,435.1824277,795.4981225,1042.947626,412.9693638,281.3323052,95.99738224,766.9733544,279.1353877,503.9677793,932.4243925,1248.81811,1343.222086,155.0731295,56.45493888,877.797367,639.0608491,459.9447325,187.9834823
1992-04-30,1195.448836,2862.245878,2937.252962,235.037776,357.9169953,366.3741561,326.6368274,1876.14306,1154.724763,607.2320247,294.7429419,167.7050656,439.534252,800.5893105,1158.714812,423.871755,270.1915459,90.74632543,840.2960071,286.6162161,538.4895722,897.085508,1250.691337,1393.861559,159.4927137,55.91861696,837.6820273,659.7664206,464.0842351,187.8706923
1992-05-31,1205.968785,2965.859179,2948.708248,239.8325466,358.0243704,368.2426643,320.2020819,1896.405405,1144.563185,597.0305266,296.3640281,169.2311817,438.1716958,797.3068943,1137.39446,414.5465764,295.6706087,90.41963866,867.3535385,293.896268,529.3352495,908.8373282,1241.811428,1385.637775,159.0939819,56.75180435,835.8391268,665.6383418,475.8255662,178.4207964
1992-06-30,1205.00401,2803.03351,2658.260486,231.1985749,346.5675906,344.4541882,306.0491498,1807.653632,1091.226541,552.7905646,279.1156417,172.5481129,412.7139203,811.8976104,1187.894774,394.4825221,322.5175,81.61276585,837.4298415,295.4833079,535.8990066,859.4874612,1206.295622,1364.16039,152.7779508,55.08897649,820.7104386,650.9277344,481.7733858,170.5524393
1992-07-31,1270.435728,2930.571535,2781.337946,235.3370294,356.5833939,368.1181909,325.6362954,1911.05142,1137.167178,592.4809272,293.0435122,172.2202714,424.8477095,804.2657729,1179.104353,406.1592047,319.808353,86.85230542,882.232338,315.2511412,564.6767832,889.4835736,1239.106862,1349.018209,153.9848966,57.26499106,855.9189165,653.9870948,499.4544691,180.0180997
1992-08-31,1294.31992,2968.08285,2775.77527,230.0419463,352.7679516,356.5592797,322.2822416,1847.795618,1082.810587,583.6529613,293.3658601,156.4793386,410.4028874,782.1484642,1050.935709,387.7601928,305.3530154,85.81007775,904.9939323,313.7064106,558.747677,870.3596768,1173.68202,1303.286492,144.8381938,55.99370826,856.3468759,636.0024497,483.3720352,174.4375386
1992-09-30,1330.043149,2905.456302,2813.525814,243.0393162,350.9335583,368.3613919,340.9101551,1757.253632,1083.351992,595.5594817,301.8441334,155.8064775,420.4987984,833.2227589,1034.436019,379.2294685,305.3224801,97.11126499,905.8084268,316.2788031,568.8610099,902.9981647,1202.202493,1312.539826,150.7620759,57.45514404,893.0841569,672.2545893,499.6616727,183.0721968
1992-10-31,1293.99898,2964.727611,2695.35773,253.417095,353.3549998,377.4599182,343.3987993,1815.594453,1091.693802,596.1550412,303.8061203,158.2370585,412.7195707,827.6401664,1038.677207,392.7300376,290.7280656,97.13068725,874.2862936,314.9504322,565.8460466,961.5124458,1203.044035,1340.890687,159.8530291,59.02941499,933.2729439,692.8928052,513.7521319,185.7633581
1992-11-30,1342.006342,2985.480704,2748.456277,273.0569199,378.3725338,394.4456146,379.6273726,1904.013903,1115.492727,630.6724181,310.6113774,169.2978289,427.9489228,894.0169077,1123.848737,397.7962551,271.1620668,86.94167815,851.4674213,314.1945511,590.120842,1010.164976,1283.046463,1394.392225,168.5170633,62.98438579,998.9753592,755.5996041,547.1973957,198.1723504
1992-12-31,1329.928285,3072.059645,2670.400119,280.2656226,376.3293221,390.5800475,375.0718441,1877.357708,1126.201458,663.1520477,309.7106044,176.0358825,432.0572325,922.8042522,1159.811897,432.4045293,282.4695249,86.81126564,867.9007426,322.677804,622.9905729,1016.225965,1286.510689,1395.507739,170.7583402,64.94949863,1000.773515,752.9550055,572.4231956,204.1175209
1993-01-31,1288.833501,3098.479357,2516.852112,297.8663037,387.2805054,398.9775186,370.1208958,1750.260591,1100.749305,680.2613705,312.3121735,187.513422,447.6544986,928.8947602,1271.153839,416.7514853,271.6791891,83.63397331,891.8548031,330.5834102,630.2172635,1044.273802,1352.89464,1389.088403,175.7444837,66.3783876,998.7719678,754.4609155,593.3166423,205.3830495
1993-02-28,1262.283531,3025.665093,2436.312844,284.789973,387.4354176,411.7049014,343.9903605,1593.787295,1111.536648,703.7984139,331.9566092,186.5571036,462.6509243,907.4372913,1271.153839,424.9198144,284.1764318,82.02820103,945.6336477,351.11264,666.265691,1021.404206,1362.635482,1395.061483,176.5353339,65.24331717,981.093704,753.4046702,599.190477,201.8709994
1993-03-31,1233.503467,3100.096454,2414.62966,296.3809249,392.2396168,416.1513143,361.3274747,1606.696972,1135.323532,724.4900873,337.1019366,185.0086796,473.014305,965.3317904,1350.855185,439.8344999,321.3182914,80.46966521,984.593754,357.3273337,687.9859525,1051.842051,1383.211277,1373.298524,183.6850149,66.61995116,1010.035968,781.9587072,625.3151818,203.5869029
1993-04-30,1084.249547,2815.507599,2033.6011,287.9340685,383.9241369,395.2189032,338.1663836,1627.744702,1172.902741,689.7145631,330.4610285,180.8459843,484.224744,967.262454,1401.917511,447.3996533,325.8810112,76.69563791,996.408879,356.7913427,668.2407557,996.3047908,1345.44961,1364.646743,184.5115975,64.03509706,916.5066376,732.3825251,602.1159886,197.072122
1993-05-31,1112.98216,2905.040741,2130.603872,319.8083699,392.3320755,400.8310116,347.9393921,1686.506286,1192.724797,690.1973633,334.823114,188.3872619,506.2569699,993.9588977,1408.22614,469.0090566,344.6517574,83.35281928,1013.646753,356.5772679,696.5073397,1060.068297,1467.347344,1369.013613,189.1243874,67.37772912,970.2139266,785.40702,604.7050873,203.201065
1993-06-30,1092.837183,2963.43206,2124.851242,314.7234168,387.6633238,408.3265516,305.6995499,1637.091652,1142.749628,659.9667188,332.9146223,190.9493287,514.5595842,1022.386122,1462.302023,474.7309671,351.4069318,75.96775949,1002.496638,367.916425,728.8252802,1064.414577,1459.423668,1351.764041,186.7225077,67.32382694,936.5475033,750.4564076,628.2281152,201.2706549
1993-07-31,1043.878077,2963.728403,2027.32057,309.9396209,390.8421631,399.5475307,292.9824486,1539.029862,1154.748499,640.4977006,331.9491699,186.1755954,514.3537603,1045.492049,1502.222869,491.0617123,371.0505793,81.2095349,1007.108123,375.0907953,744.4950238,1030.779077,1416.95444,1325.404643,193.8366353,68.14517763,937.6713603,764.1147142,643.30559,195.7357118
1993-08-31,1103.796679,3027.448564,2000.559938,332.6272011,404.013544,414.3307893,299.5745537,1586.124175,1192.3933,696.8614982,349.0445521,191.351277,554.4733536,1049.046722,1491.406864,507.3649612,337.7673424,86.03338127,1049.608086,388.8566275,785.2189016,1065.413254,1528.043668,1353.23814,202.2491452,71.2798558,972.2714335,801.6327467,663.6340467,208.2236503
1993-09-30,1078.078216,2982.33958,1924.538661,354.7801727,400.1350139,406.9971344,286.6628904,1600.716518,1163.775861,673.9347549,345.1003487,183.0466316,544.1047019,1039.710206,1501.250149,503.8641429,305.6118914,91.68577442,1064.617481,386.4068308,781.4498508,1113.037226,1525.445994,1313.182291,199.9030551,70.71674494,968.9657106,808.3664617,679.1630833,205.0794731
