Date,Mkt_RF,SMB,HML,RMW,CMA,Mom   ,ST_Rev,LT_Rev,RF
1992-01-31,-0.0059,0.0926,0.0451,-0.0133,0.0315,-0.0251,0.0531,0.0946,0.0034
1992-02-29,0.0109,0.0135,0.0637,0.0009,0.0204,-0.0058,-0.0269,0.0544,0.0028
1992-03-31,-0.0266,-0.009,0.0365,-0.0008,0.0193,-0.0036,-0.0109,0.0138,0.0034
1992-04-30,0.0107,-0.0573,0.0431,0.0171,0.0222,-0.026,-0.0336,0.0076,0.0032
1992-05-31,0.003,0.0021,0.0128,-0.0096,0.0043,0.0013,-0.0018,-0.0047,0.0028
1992-06-30,-0.0234,-0.0271,0.034,-0.0003,0.0107,-0.0061,0.0088,0.0129,0.0032
1992-07-31,0.0377,-0.0061,-0.0053,0.0157,-0.0072,0.0144,0.0205,-0.013,0.0031
1992-08-31,-0.0238,-0.0042,-0.0103,0.0379,-0.0162,-0.0051,-0.0157,-0.0409,0.0026
1992-09-30,0.0119,0.0048,-0.0021,0.0153,-0.005,0.0143,-0.0115,0.0008,0.0026
1992-10-31,0.0102,0.0202,-0.021,0.0131,-0.008,0.0271,-0.0016,-0.011,0.0023
1992-11-30,0.0413,0.0391,-0.0148,-0.0084,-0.0191,-0.0034,-0.0105,0.0031,0.0023
1992-12-31,0.0153,0.0164,0.0252,-0.0044,0.0075,0.0444,0.0121,0.0077,0.0028
1993-01-31,0.0093,0.0209,0.0587,-0.0177,0.0278,0.0483,-0.0051,0.0553,0.0023
1993-02-28,0.0012,-0.0342,0.0642,-0.005,0.0405,0.031,-0.0142,0.0428,0.0022
1993-03-31,0.023,0.0005,0.0122,-0.0029,0.0092,0.0374,-0.0094,0.0175,0.0025
1993-04-30,-0.0305,-0.0086,0.0261,-0.0369,0.0152,0.0033,-0.0171,0.0242,0.0024
1993-05-31,0.0289,0.0188,-0.0341,-0.0001,-0.0118,0.003,0.0145,0.0122,0.0022
1993-06-30,0.0031,0.0011,0.0262,-0.0106,0.0109,0.0458,0.0224,0.0168,0.0025
1993-07-31,-0.0034,0.009,0.0325,-0.0218,0.0203,0.0325,-0.0267,0.0097,0.0024
1993-08-31,0.0371,0.0025,-0.0045,-0.0115,-0.0004,0.0258,0.0123,0.0115,0.0025
1993-09-30,-0.0012,0.0306,-0.0044,0.0077,-0.0008,0.0341,0.0066,0.004,0.0026
1993-10-31,0.0141,0.0161,-0.0154,-0.001,0.006,-0.0267,0.0193,0.0163,0.0022
1993-11-30,-0.0189,-0.0143,-0.0027,0.0155,-0.0095,-0.0471,-0.0137,0.015,0.0025
1993-12-31,0.0165,0.0136,0.0057,0.007,-0.0032,0.0228,0.0113,0.0049,0.0023
1994-01-31,0.0287,-0.0014,0.0209,-0.0229,0.0144,0.0002,0.0173,0.0373,0.0025
1994-02-28,-0.0255,0.0265,-0.0145,0.0245,-0.0103,-0.0029,0.0042,-0.0016,0.0021
1994-03-31,-0.0478,-0.0102,0.0129,0.0077,0.0127,-0.0133,0.001,0.0057,0.0027
1994-04-30,0.0068,-0.0105,0.0168,0.0101,0.0112,0.0041,-0.0035,0.0018,0.0027
1994-05-31,0.0058,-0.0246,0.002,0.009,0.007,-0.0215,0.0007,0.0163,0.0031
1994-06-30,-0.0303,-0.0052,0.0169,0.0116,0.0153,-0.0082,0.0017,0.0048,0.0031
1994-07-31,0.0282,-0.0183,0.0062,-0.0089,0.0011,0.0019,0.0141,0.0049,0.0028
1994-08-31,0.0401,0.0129,-0.0281,0.0087,-0.0145,0.0156,0.0145,0.0235,0.0037
1994-09-30,-0.0231,0.0267,-0.0191,0.006,0.0093,0.0132,-0.0073,0.0168,0.0037
1994-10-31,0.0134,-0.023,-0.0174,0.0058,-0.0062,0.0143,-0.0025,0.006,0.0038
1994-11-30,-0.0404,0.0011,-0.0094,0.0081,-0.0044,-0.002,-0.0209,-0.0162,0.0037
